tags,pt-br,es,en,ru,de,status
index.titlepage,Viva sem Tabaco | Programa online gratuito para o tratamento do tabagismo,Viva sin Tabaco | Programa en línea  gratuito para el tratamiento del tabaquismo,Live without Tobacco I Free Online Program for Treating Tobacco Dependence,Живи без Табака | Бесплатная Онлайн Программа для Лечения Табакозависимости,Lebe ohne Tabak | Kostenloses Online-Programm zur Behandlung der Tabakabhängigkeit,ok
index.objetivo,Objetivo: oferecer a fumantes um serviço de qualidade e personalizado para parar de fumar.,Objetivo: ofrecer a los fumadores un servicio personalizado y de calidad para dejar de fumar.,Aim: To offer smokers a quality and personalized quit smoking program.,Цель: Предоставить курильщикам квалифицированную и персональную программу для избавления от табакозависимости ,Intention: Angebot einer qualitativ hochwertigen und individuell abgestimmten Unterstützung für Raucher im Kampf gegen den Tabak.,ok
index.conteudo,O conteúdo foi criado por especialistas com a participação de ex-fumantes e fumantes.,El contenido fue creado por expertos con la participación de ex fumadores y fumadores.,The content was developed by specialists along with the support of former and current smokers,Содержимое программы было разработано специалистами при поддержке бывших и нынешних курильщиков.,Der Inhalt wurde von Experten sowie mit Hilfe von Rauchern und ehemaligen Rauchern entwickelt.,ok
index.header.main,Parar de fumar online,Deje de fumar en línea,Stop smoking online,Брось курить онлайн,Aufhören zu rauchen online,ok
index.conteudo.saibamais,Saiba mais.,Conozca más.,Learn more,Больше информации,Erfahren Sie mehr.,ok
index.objetivo.img,Especialistas,Expertos,Experts,Эксперты,Experten,ok
index.conteudo.img,Ciências,Ciencia,Science,Наука,Wissenschaft,ok
index.descricao,Ele é gratuito e sempre será! Faça seu cadastro agora mesmo,Es gratis y siempre lo será! Regístrese ahora,It's free and always will be! Sign up here.,Это бесплатно и всегда будет таковым. Зарегистрируйся тут.,Das Programm ist und bleibt kostenfrei! Melden Sie sich jetzt an.,ok
index.descricao.aqui,aqui,Aquí,Here,Тут,hier,ok
index.descricao.img,Gratuito e seguro,Gratuito y Seguro,Free and safe,Бесплатно и безопасно,Kostenfrei und sicher,ok
index.bottom.h,Escolha uma das 3 etapas,Elija uno de los 3 pasos,Get started,Начать,Wählen Sie eine der drei Etappen aus,ok
index.step1.h,Vale a pena parar?,¿Vale la pena dejar de fumar?,Is it worth stopping smoking?,Стоит ли бросать курить?,Lohnt es sich aufzuhören?,ok
index.arrow,Seta,Flecha,Arrow,Стрелка,Pfeil,ok
index.step1.li1,Riscos do cigarro,Los riesgos de fumar,Risks of smoking,"Риски, связанные с курением",Risiken einer Zigarette,ok
index.step1.li2,Vantagens de parar,Beneficios de dejar de fumar,Benefits of stopping smoking,Выгоды бросить курить,Vorteile eines Lebens ohne Tabak,ok
index.step1.li3,Abstinência,Abstinencia,Withdrawal,Синдром отмены (абстиненция),Entzug,ok
index.step1.li4,Ganho de peso,Aumento de Peso,Weight gain,Набор веса,Gewichtszunahme,ok
index.step1.li5,Custo financeiro,Costo financiero,Financial cost,Финансова стоимость,Kosten,ok
index.step2.h,Pronto para parar?,¿Listo para dejar de fumar?,Are you ready to stop?,Вы готовы прекратить?,Bereit für den Rauchstopp?,ok
index.step2.img,Pronto para parar?,¿Listo para dejar de fumar?,Are you ready to stop?,Вы готовы прекратить?,Bereit für den Rauchstopp?,ok
index.step2.li1,Plano personalizado,Plan personalizado,Personalized plan,Пресонализированный план,individueller Plan,ok
index.step2.li2,Medicamentos,Medicamentos,Medications,Медикаменты,Medikamente,ok
index.step2.li3,Sintomas de abstinência,síntomas de abstinencia,Withdrawal symptoms,Симптомы синдрома отмены (абстиненции),Entzugserscheinungen,ok
index.step2.li4,Ganho de peso,Aumento de Peso,Weight gain,Набор веса,Gewichtszunahme,ok
index.step2.li5,Enfrentando a fissura,Enfrentando el deseo intenso de fumar,How to deal with cravings,Как быть с тягой,Konfrontation mit den Versuchungen,ok
index.step3.h,Já parou?,¿Dejó de fumar?,Have you already stopped?,Вы уже прекратили?,Haben Sie schon aufgehört?,ok
index.step3.li1,Plano para recaídas,Plan para recaidasPlan contra las recaídas,Relapse plan,Что делать в случае рецидива,Plan gegen Rückfälle,ok
index.step3.li2,Recaídas e lapsos,Recaidas y lapsos Los descuidos y recaídas,Relapse and slips,Рецидив и срыв,Rückfälle und Ausrutscher,ok
index.step3.li3,E-mails de acompanhamento,Correos electrónicos para acompañamiento,Follow up e-mails,Дальнейшее содействие по почте,Emails zur Betreuung,ok
index.step3.li4,Mensagens,Mensajes,Messages,Сообщения,Nachrichten,ok
###################################,,,,,,ok
# SIDE MENU  - Is it worth stopping smoking?,,,,,,ok
###################################,,,,,,ok
menu.firststep.li1,Preparar para parar,Prepárese para dejar de fumar,Get ready to stop,Приготовьтесь прекратить,Vorbereitung für den Rauchstopp,ok
menu.firststep.li2,Riscos de fumar,Riesgos de fumar,Risks of smoking,"Риски, связанные с курением",Risiken des Rauchens,ok
menu.firststep.li3,Vantagens de parar,Beneficios de dejar de fumar,Benefits of stopping smoking,Выгоды прекащения курить,Vorteile eines Rauchstopp,ok
menu.firststep.li4,Gastos financeiros,Gastos Financieros,Financial cost,Финансова стоимость,finanzieller Aufwand,ok
menu.firststep.li5,Abstinência e fissura,Abstinencia y deseo intenso de fumar,Withdrawal and craving,Абстиненция и тяга,Verzicht und Versuchung,ok
menu.firststep.li6,Ganho de peso,Aumento de Peso,Weight gain,Набор веса,Gewichtszunahme,ok
menu.firststep.li7,Ansiedade e depressão,Ansiedad y depresión,Anxiety and depression,Раздражительность и депрессия,Begierde und Depression,ok
menu.firststep.li8,Dúvidas em decidir parar,Dudas en la decisión de dejar de fumar Dudas  en decidir dejar  de fumar,Doubts about stopping smoking,Сомнения по-поводу бросания курить,Zweifel am Rauchstopp,ok
menu.firststep.li9,Onde encontrar ajuda,Dónde encontrar ayuda,Where to find help,Где найти помощь,Wo man Hilfe findet,ok
menu.firststep.li10,Já estou pronto,Ya Estoy listo,I'm ready,Я готов/готова,Ich bin bereit,ok
###################################,,,,,,ok
# MENU LATERAL - Are you ready to stop?,,,,,,ok
###################################,,,,,,ok
menu.ndstep.li1,Pronto para parar,Listo para dejar de fumar,Ready to stop,Готовы остановиться?,Bereit aufzuhören,ok
menu.ndstep.li2,Abstinência,Abstinencia,Withdrawal,Синдром отмены (абстиненция),Verzicht,ok
menu.firststep.li2b,Fumo passivo,Fumador pasivo,Secondhand smoking,Пассивное курение,passives Rauchen,ok
menu.ndstep.li3,Vencendo a fissura,Superando el deseo intenso de fumar,Overcoming cravings,Преодоление тяги,Die Versuchung besiegen,ok
menu.ndstep.li4,Medicamentos,Medicamentos,Medications,Медикаменты,Medikamente,ok
menu.ndstep.li5,Métodos de parar,Métodos para dejar de fumar,Ways to quit,Способы бросить курить,Methoden zum Rauchstopp,ok
menu.ndstep.li6,Data para parar,Fecha para dejar de fumar,Set a quit date,Установить дату бросания,Deadline für den Rauchstopp,ok
menu.ndstep.li7,Como evitar recaídas,Cómo evitar las recaídas,How to avoid relapses,Как избежать срывов,So kann ich Rückfälle vermeiden,ok
menu.ndstep.li8,Ganho de peso,Aumento de Peso,Weight gain,Набор веса,Gewichtszunahme,ok
menu.ndstep.li9,Meu plano para parar,Mi plan para dejar de fumar,My quit plan,Мой план прекращения,Mein Plan für den Rauchstopp,ok
###################################,,,,,,ok
# MENU LATERAL - Have you already stopped?,,,,,,ok
###################################,,,,,,ok
menu.rdstep.li1,Acompanhamento,Acompañamiento Monitoreo,Follow up,Дальнейшее содействие,Unterstützung,ok
menu.rdstep.li2,Recaída ou lapso?,¿Recaída o lapso? ¿Recaída o descuido?,Relapse or slip?,Рецидив или срыв?,Rückfall oder Ausrutscher,ok
menu.rdstep.li3,Fatores para recaída,Factores para la recaída,Risks for relapsing,Риски для рецидива,Merkmale eines Rückfalls,ok
menu.rdstep.li5,Onde procurar ajuda,Dónde buscar ayuda,Where to find help,Где найти помощь,Wo ich Hilfe finde,ok
menu.rdstep.li4,Meu plano para recaídas,Mi plan para las recaídas,My relapse plan,Мой план в случае рецидива,Mein Plan gegen Rückfälle,ok
###################################,,,,,,ok
# TOP MENU,,,,,,ok
###################################,,,,,,ok
menu.top.li1,Página Inicial,Página inicial,Home,Домой,Startseite,ok
menu.top.li2,O Programa,El Programa,The Program,Программа,Das Programm,ok
menu.top.li3,Sobre os autores,Sobre los autores,About the authors,Авторы,Über die Autoren,ok
menu.top.li4,Contato,Contacto,Contact,Контакты,Kontakt,ok
menu.top.li5,Para pesquisadores,Para los investigadores,For researchers,Для исследователей,Für Forscher,ok
###################################,,,,,,ok
# FOOTER,,,,,,ok
###################################,,,,,,ok
footer.li1,Página Inicial,Página inicial,Home,Домой,Startseite,ok
footer.li2,Sobre os autores,Sobre los autores,About the authors,Авторы,Die Autoren,ok
footer.li3,Política do site,Política del sitio web,Policy,Принципы и Нормы,Nutzungsbedingungen,ok
footer.li4,Termos de uso,Terminos de uso,Terms of use,Правила использования,Gebrauchsanweisung,ok
footer.li5,Contato,Contacto,Contact,Контакт,Kontakt,ok
footer.description,"Centro de Referência em Pesquisa, Intervenção e Avaliação em Álcool e Outras Drogas - 2014 - Alguns direitos reservados","Centro de Referencia en Investigación, Intervención y Evaluación del Alcohol y Otras Drogas-2014-Algunos derechos reservados","Center for Research, Intervention and Evaluation on Alcohol & Drugs - 2014 - Some rights reserved","Центр Исследования, Интервенции и Оценивания Алкоголя и Наркотиков - 2014 - Некоторые права защищены","Zentrum für Forschung, Intervention und Studien zu Alkohol und anderen Drogen - 2014 - Einige Rechte vorbehalten",ok
footer.contact,contato@vivasemtabaco.com.br,contato@vivasemtabaco.com.br,contato@vivasemtabaco.com.br,contato@vivasemtabaco.com.br (доступно только на Английском и Португальском языках),contato@vivasemtabaco.com.br (nur auf englisch oder portugiesisch),ok
###################################,,,,,,ok
# PROGRAM,,,,,,ok
###################################,,,,,,ok
program.titlepage,O programa | Viva sem tabaco,El programa | Viva sin tabaco,The program I Live without Tobacco,Программа | Живи Без Табака,Das Programm,ok
program.h1.program,O programa,El programa,The program,Програма,Das Programm,ok
program.img,Felicidade,Felicidad,Happiness,Счастье,Glück,ok
program.h2.objective,Objetivo,Objetivo,Our goal,Наша цель,Ziel,ok
program.p.objective,Oferecer suporte a fumantes que buscam ajuda um serviço gratuito de qualidade e personalizado.,"Ofrecer soporte a fumadores que buscan ayuda mediante un servicio gratuito, de calidad y personalizado.",To offer a free and personalized online service for smokers who want to quit smoking.,Предложить бесплатный перональный сервис для курильщиков. которые хотят бросить.,Angebot einer qualitativ hochwertigen und individuell abgestimmten Unterstützung für Raucher im Kampf gegen den Tabak.,ok
program.h2.how,Como foi feito?,¿Cómo fue hecho?,How was it developed?,Как эта программа была разработана?,Wie wurde das Programm erstellt?,ok
program.p.how1,Construído com a participação ativa de fumantes e ex-fumantes.,Construido con la participación activa de fumadores y ex fumadores Construido con la participación activa de los fumadores y ex fumadores.,The intervention was developed with the active participation of former and current smokers.,Интервенционная программа была разработана при актином участии бывших и нынешних курильщиков.,Entwickelt unter Beteiligung von aktiven sowie ehemaligen Rauchern.,ok
program.p.how2a,Desenvolvido por especialistas da Universidade Federal de Juiz de Fora seguindo o Código de Ética da,Desarrollado por especialistas de la Universidad Federal de Juiz de Fora siguiendo el Código de Ética de la,It was developed by specialists from the Federal University of Juiz de Fora and with the collaboration of the University of Kansas Medical Center.,Программа была разработана специалистами из Федерального Университета Жуиз-ди-Форы с участием Медицинского Центра Университета Канзаса.,"Ausgeführt von Spezialisten der staatlichen Universität in Juiz de Fora, Brasilien, nach Regeln des ethischen Codes der",ok
program.p.how2b,Health on the Net Foundation,Health on the Net Foundation,Health on the Net Foundation,Health on the Net Foundation,Health on the Net Foundation,ok
program.p.how3,Conteúdo criado a partir das diretrizes para o tratamento do tabagismo de instituições como Ministério da Saúde e pelo Instituto Nacional do Câncer - INCA.,Contenido creado a partir de las directrices para el tratamiento del tabaquismo de instituciones como el Ministerio de Salud y por el Instituto Nacional del Cáncer - INCA.,The content was developed based on the guidelines for tobacco use treatment from institutions such as the U.S Departament of Health and Human Services and the Brazilian Ministry of Health.,"Содержание программы было разработано в соответствии с указаниями по лечению табакокурения, разработанными такими организациями как Министерство Здравоохранения и Социальных Служб США, а также Министерство Здравоохранения Бразилии.",Die Inhalte zur Behandlung der Tabakabhängigkeit wurden anhand von Richtlinien der Institutionen des brasilianischen Gesundheitsministeriums sowie des Nationalen Instituts für Krebs (INCA) in Brasilien erstellt.,ok
program.h2.important,Importante,Importante,Important,Важно,Wichtig,ok
program.p.important,Este site não substitui o atendimento tradicional realizado por um profissional de saúde. A eficácia do conteúdo será testada e avaliada por uma pesquisa clínica.,Este sitio web no substituye la atención tradicional realizada por un profesional de la salud. La eficacia del contenido será puesta a prueba y evaluada por una investigación clínica,"The current website does not replace the treatment provided by health professionals. The content of the web site is evidence based, but the effectiveness of the web site is still under study.","Данный сайт не заменяет лечения профессиональными врачами.Содержание сайта основано на фактах, но эффективность данного сайта все еще в процессе изучения.",Diese Website greift nicht auf herkömmliche Methoden eines Gesundheitsexperten bzw. Mediziners zurück. Die Wirksamkeit der Anwendung des Inhalts wird von einem klinischen Forschungszentrum geprüft und bewertet.,ok
###################################,,,,,,ok
# ABOUT US -,,,,,,ok
###################################,,,,,,ok
aboutus.pagetitle,Sobre os autores | Viva sem tabaco,Sobre los autores | Viva sin tabaco,About the authors I Live without Tobacco,Об Авторах | Живи без Табака,Über die Autoren | Lebe ohne Tabak,ok
aboutus.h1.project,O projeto,El proyecto,The project,Проект,Das Projekt,ok
aboutus.p.project.a,O projeto Viva sem Tabaco foi criado pela linha de pesquisa de e-saúde do,El proyecto Viva sin Tabaco fue creado por la línea de investigación Procesos Psicosociales en Salud,The Live without Tobacco project was developed by experts from,"Проект ""Живи без Табака"" был разработан экспертами из",Das Projekt Lebe ohne Tabak wurde im Rahmen der Forschung zum Thema Gesundheit online des,ok
aboutus.p.project.b,em parceria com o Departamento de Ciências da Computação da,en asociación con el Departamento de Ciencias de la Computación de la Universidad Federal de Juiz de Fora.,In partnership with the University of Kansas Medical Center and the Computer Sciences Department from,В партнерстве с Медицинским Центром Университета Канзаса и Факультетом Компьютерных Наук из,In Zusammenarbeit mit dem IT-Technik Lehrstuhl der,ok
aboutus.p.project.c,Universidade Federal de Juiz de Fora.,Universidade Federal de Juiz de Fora.,Federal University of Juiz de Fora,Федерального Университета Жуиз-ди-Форы,Staatlichen Universität Juiz de Fora entwickelt.,ok
aboutus.h1.funding,Financiamento,Financiación,Funding,Финансирование,Finanzierung,ok
aboutus.p.funding.a,Este programa é financiado por projetos submetidos a agências de financiamento de pesquisa públicas como a,Este programa es financiado por proyectos sometidos a agencias de financiación de Investigaciones públicas como.,The current program is funded by grants of public research agencies in Brazil such as,"Данный проект финансируется из грантов агенств общественных исследований в Бразилии, такими как","Dieses Programm wird von Forschungsinstitutionen finanziert, z.B.",ok
aboutus.p.funding.b,e,y,and,и,und,ok
aboutus.h1.authors,Os autores,Los autores,the authors,авторы,Die Autoren,ok
aboutus.h3.telmo,Prof. Dr. Telmo Mota Ronzani,Prof. Dr. Telmo Mota Ronzani,PhD Prof. Telmo Mota Ronzani,"Доктор Тельмо Ронзани, профессор",Herr Prof. Dr. Telmo Mota Ronzani,ok
aboutus.p.telmo,"Coordenador do CREPEIA, Mestre em Psicologia Social (UFMG), Doutor em Ciências da Saúde (Unifesp), Pos-doutor em Álcool e Drogas (University of Connecticut Health Center e USP). Pesquisador do CNPq.","Coordinador CREPEIA, Maestría en Psicología Social (UFMG), Doctor en Ciencias de la Salud (Unifesp), Postdoctorado en Alcohol y Drogas (Universidad de Connecticut Centro de Salud y USP). Investigador del CNPq.","CREPEIA Director Master Degree on Social Psychology (UFMG), PhD on Health Sciences (Unifesp), PhD on Alcohol and Drugs use (University of Connecticut Health Center and USP). Professor at Universidade Federal de Juiz de Fora.","Директор CREPEIA, Магистр Социальной Психологии (UFMG), Доктор Наук о Здравоохранении (Unifesp) с уклоном в исследованиях про употрепление алкоголя и наркотиков (Центр Здоровья Университета Коннектикута и USP). Профессор в Федеральном Универитете Жуиз-ди-Фора.","Leiter des Forschungszentrum für Alkohol und andere Drogen in Juiz de Fora, Brasilien (CREPEIA), Master in Psychologie an der staatlichen Universität Minas Gerais (UFMG), Promotion im Fachbereich Gesundheitswissenschaften (Unifesp), Ph.D im Bereich Alkohol und Drogen (University of Connecticut Health Center und USP). Forscher im Nationalen Rat für wissenschaftliche und technologische Entwicklung in Brasilien (CNPq).",ok
aboutus.linkcv,Link para currículo,Link para  el curriculum,Resume,Резюме,Link zum Lebenslauf,ok
aboutus.h3.laisa,Profa. Dra. Laisa Sartes,Profesora Doctora Laisa Sartes,PhD Prof. Laisa Sartes,"Доктор Лайза Сартес, профессор",Frau Prof. Dr. Laisa Sartes,ok
aboutus.p.laisa,"Professora de Psicologia da UFJF. Seus principais temas de trabalho e pesquisa são: uso de substâncias psicotrópicas, estudos de avaliação clínica e validação de instrumentos, tratamento para dependentes de substâncias, baseado na TCC e Terapia Familiar.","Profesora de Psicología UFJF. Sus principales áreas de trabajo e investigación son: uso de sustancias psicotrópicas,  estudios de evaluación clínica y validación de instrumentos, tratamiento para dependientes de sustancias, basado en la TCC y  Terapia Familiar.","Professor of psychology at UFJF. Her main study and research themes are: the use of psychotropic substances, psychometrics, treatment of addictions, cognitive-behavioral therapy.","Профессор психологии в UFJF. Ее основная исследовательская работа лежит в области психотропных веществ, когнитивно-поведенческой терапии, психометрии и лечении зависимостей.","Psychologieprofessorin an der staatlichen Universität Juiz de Fora. Forschungsschwerpunkte: Gebrauch psychotropischer Substanzen, Studien zur klinischen Beurteilung und Bewertung von Instrumenten, Behandlung von Drogenabhängigen auf Basis von CBT und Familientherapie.",ok
aboutus.h3.heder,Prof. Dr. Heder Soares Bernardino,Prof. Dr. Heder Bernardino Soares,PhD Prof. Heder Soares Bernardino,"Доктор Эдер Соарес Бернардино, профессор",Prof. Dr. Heder Soares Bernardino,ok
aboutus.p.heder,"Professor de Ciência da Computação na UFJF. Atua com ênfase em Inteligência Computacional, especialmente para a descoberta de conhecimento. Mestrado em Modelagem Computacional e doutorado em Modelagem Computacional.","Profesor de Ciencias de la Computación en la UFJF. Su actuación hace énfasis en la Inteligencia Computacional, especialmente para el descubrimiento de conocimiento. Maestria en Modelado Computacional y Doctorado en Modelado Computacional.  Actúa con énfasis en Inteligencia Computacional, especialmente para descubrir conocimientos. Máster en Modelado Computacional y Doctorado en Modelado Computacional.","Professor of Computer Sciences at UFJF. Masters degree and PhD on Computer Modeling. His main research topic is Knowledge Discovery, using Machine Learning and Data Minning techniques.",Профессор Компьютерных Наук в UFJF. Магистерская и Докторская степени получены в области Компьютерного Моделирования. Главна тема исследований - Техники Обучения и Добычи Данных. ,"Professor für Informatik an der staatlichen Universität Juiz de Fora. Schwerpunkte seiner Arbeit liegen im Bereich der Computational Intelligence, vor allem für knowledge discovery. Master und Promotion im Bereich Computersimulationen.",ok
aboutus.h3.henrique,Ms. Henrique Pinto Gomide,Henrique Pinto Gomide,"Henrique Pinto Gomide, MA in Psychology.","Энрике Пинто Гомиде, магистр в области Психологии.",Herr Henrique Pinto Gomide,ok
aboutus.p.henrique,"Pesquisador do CREPEIA e aluno de doutorado na UFJF. Seu trabalho de mestrado foi o desenvolvimento da intervenção Viva sem Tabaco.  No doutorado, avaliará a satisfação do usuário da intervenção Viva sem Tabaco e validará instrumentos online relacionados ao tabagismo.","Psicólogo y investigador del CREPEIA de la línea de e-salud. Alumno de Master en Psicología con el proyecto ""Viva sin tabaco"". Hizo prácticas en los grupos de tratamiento para los fumadores y desarrolla sitios web.","Researcher at CREPEIA and doctoral student at UFJF. The development of Live without Tobacco intervention was his Masters work. In his PhD, he is studying the users satisfaction of Live without Tobacco and also validating online versions of tobacco related measures.","Исследователь в CREPEIA и аспирант в UFJF. Его магистерским проектом была разработка программы Живи без Табака. Для своей докторской степени он оценивает степень удовлетворенности пользователей сайта Живи без Табака, а также анализирует достоверность онлайн данных, относящихся к табакокурению. ","Master in Psychologie mit dem Projekt ""Lebe ohne Tabak"". Absolvierte Praktika mit Rauchern in Therapie und entwickelt Websites.",ok
aboutus.h3.leonardo,Prof. Ms. Leonardo Fernandes Martins,Prof.  Leonardo Fernandes Martins,"Leonardo Fernandes Martins, MA in Psychology","Леонардо Фернандес Мартины, магистр в области Психологии.",Herr Prof. Leonardo Fernandes Martins,ok
aboutus.p.leonardo,Professor e coordenador de curso do Centro Regional de Referência sobre Drogas da UFJF e da UFSJ. Mestre em Psicologia e especialista em Estatística. Doutorando em Psicologia com o tema e-saúde.,Profesor y coordinador  de curso del Centro de Referencia Regional sobre Drogas de UFJF y de UFSJ. Maestría en Psicología y experto en Estadística. Alumno de doctorado en Psicología con el tema de la e-salud.,"Researcher at CREPEIA and doctoral student at UFJF. The development of 
Live without Tobacco intervention was his Masters work. In his PhD, he 
is studying the users satisfaction of  ""Álcool e saúde"" intervention.","Исследователь в CREPEIA и аспирант в UFJF. Разработка проекта Живи без Табака была его магистерской работой. Для получения докторской степени он оценивает степень удовлетворенности пользователей проекта ""Алкоголь и Здоровье"". ",Professor und Leiter des Kurses zu Drogen am regionalen Zentrum für Drogen der staatlichen Universität Juiz de Fora und der staatlichen Universität São João del Rei (UFSJ). Master in Psychologie und Statistikexperte. Promoviert in Psychologie mit dem Thema Gesundheit online.,ok
aboutus.h3.thiago,Thiago Costa Rizuti da Rocha,Thiago da Rocha Costa Rizuti da Rocha,Thiago Costa Rizuti da Rocha,Чиаго Коста Ризути да Роша,Thiago Costa Rizuti da Rocha,ok
aboutus.p.thiago,Graduando em Ciência da Computação pela Universidade Federal de Juiz de Fora. Atualmente é bolsista da Universidade Federal de Juiz de Fora.,Alumno de graduación en Ciencias de la Computación de la Universidad Federal de Juiz de Fora. En la actualidad es becario de la Universidad Federal de Juiz de Fora.,Researcher at CREPEIA and student of Computer Sciences at Federal University of Juiz de Fora. Currently receives a research scholarship from Science without Borders.,Исследователь в CREPEIA и студент факультета Компьютерных Наук в Федеральном Университете Жуиз-ди-Фора.  Стипендиатор организации Наука без Границ. ,Student der Informatik und Stipendiat an der staatl. Universität Juiz de Fora.,ok
